Alias,Name
beatsdataset/BigRoom/BigRoom001,"Afrojack, Amba Shepherd, Ravitez - The Great Escape feat. Amba Shepherd (Extended Mix)-8597567.mp3"
beatsdataset/BigRoom/BigRoom002,Alesso - Take My Breath Away (Extended Mix)-8516931.mp3
beatsdataset/BigRoom/BigRoom003,"Alvaro, The Partysquad - Kingdom (Original Mix)-8365027.mp3"
beatsdataset/BigRoom/BigRoom004,"Arman Aydin, Arem Ozguc - MAFIA (Original Mix)-8553422.mp3"
beatsdataset/BigRoom/BigRoom005,"Armin van Buuren, Angel Taylor - Make It Right feat. Angel Taylor (Juicy M Extended Remix)-8600247.mp3"
beatsdataset/BigRoom/BigRoom006,"Armin van Buuren, Angel Taylor - Make It Right feat. Angel Taylor (Morgan Page Extended Remix)-8600248.mp3"
beatsdataset/BigRoom/BigRoom007,"Armin van Buuren, Human Resource - Dominator (Extended Mix)-8072336.mp3"
beatsdataset/BigRoom/BigRoom008,"Armin van Buuren, Human Resource - Dominator (Tom Staar Extended Remix)-8529830.mp3"
beatsdataset/BigRoom/BigRoom009,"Armin van Buuren, Human Resource - Dominator (TWIIG Extended Remix)-8529829.mp3"
beatsdataset/BigRoom/BigRoom010,Asco - Mooseca (Original Mix)-8522552.mp3
beatsdataset/BigRoom/BigRoom011,Axwell _ Ingrosso - Thinking About You (DubVision Extended Mix)-8481325.mp3
beatsdataset/BigRoom/BigRoom012,"Axwell, Shapov - Belong (Axwell & Years Remode)-8229813.mp3"
beatsdataset/BigRoom/BigRoom013,Bastille - Send Them Off! (Tiësto Remix)-8553467.mp3
beatsdataset/BigRoom/BigRoom014,Bingo Players - Out Of My Mind (Zookeper Remix)-8423713.mp3
beatsdataset/BigRoom/BigRoom015,Blasterjaxx - Big Bird (Extended Mix)-8372488.mp3
beatsdataset/BigRoom/BigRoom016,"Blasterjaxx, Marnik - Heart Starts to Beat (Extended Mix)-8599865.mp3"
beatsdataset/BigRoom/BigRoom017,Bounce Inc. - Faith (Original Mix)-8525956.mp3
beatsdataset/BigRoom/BigRoom018,"Calvin Harris, Disciples - How Deep Is Your Love (Calvin Harris & R3hab Remix)-6960787.mp3"
beatsdataset/BigRoom/BigRoom019,"Cedric Gervais, David Guetta, Chris Willis - Would I Lie To You (Extended)-8427298.mp3"
beatsdataset/BigRoom/BigRoom020,"Chardy, Matt Watkins - Kings (Extended Mix)-8441331.mp3"
beatsdataset/BigRoom/BigRoom021,"Chicane, Moya Brennan - Saltwater feat. Moya Brennan (Kryder Remix)-8469416.mp3"
beatsdataset/BigRoom/BigRoom022,"Cuebrick, Linney, APEK - Safe (Didrick Remix)-8600973.mp3"
beatsdataset/BigRoom/BigRoom023,"Cuebrick, Linney, APEK - Safe (Jochen Miller Remix)-8600974.mp3"
beatsdataset/BigRoom/BigRoom024,"D-Wayne, Jack McManus - Love Again feat. Jack McManus (KIIDA Remix)-8565097.mp3"
beatsdataset/BigRoom/BigRoom025,"D-Wayne, Jack McManus - Love Again feat. Jack McManus (Regilio & Trilane's Arena Remix)-8565100.mp3"
beatsdataset/BigRoom/BigRoom026,Dan Domino - Nasty (Original Mix)-8560732.mp3
beatsdataset/BigRoom/BigRoom027,"Dimitri Vegas, Like Mike, Martin Garrix - Tremor (Original Mix)-5318186.mp3"
beatsdataset/BigRoom/BigRoom028,DNKNN - Artem (Original Mix)-8543655.mp3
beatsdataset/BigRoom/BigRoom029,"Do, Dash Berlin - Heaven feat. Do (Club Mix)-8609718.mp3"
beatsdataset/BigRoom/BigRoom030,"Doublev, Formal One - Capoeira (Original Mix)-8551545.mp3"
